timestamp,prompt_id,model_name,content_type,tone,total_time_sec,speed_wps,optimized_score,revision_rounds,initial_score,revised_score,score_improvement
2026-01-17T15:43:34.029557+00:00,651c71276333,gpt,blog_article,neutral,35.8878,10.0313,75.1717,1,57.1892,75.1717,17.9825
2026-01-18T17:54:10.058393+00:00,25e19c9d60a8,gpt,blog_article,neutral,23.5288,9.1377,77.8084,1,57.1669,77.8084,20.6415
2026-01-21T10:53:39.179172+00:00,6062c5c88b2f,llama3.1,blog_article,neutral,545.8633,0.8812,55.1029,0,,,
2026-01-21T11:03:43.556890+00:00,6062c5c88b2f,mistral,blog_article,neutral,604.3716,0.0165,11.962,0,,,
2026-01-21T11:13:47.913598+00:00,6062c5c88b2f,gemma2,blog_article,neutral,604.2902,0.0165,11.962,0,,,
2026-01-21T11:21:17.897265+00:00,15bb33e1bb04,llama3.1,blog_article,neutral,449.9371,0.4978,68.9554,1,49.3019,68.9554,19.6535
,,,,,,,,,,,
2026-01-21T23:50:37.460343+00:00,6062c5c88b2f,gpt-4o,blog_article,neutral,25.4234,12.1542,76.6105,1,47.5368,76.6105,29.0737
2026-01-21T23:51:12.044336+00:00,15bb33e1bb04,gpt-4o,blog_article,neutral,34.5807,9.3405,86.6026,1,54.701,86.6026,31.9016
2026-01-21T23:51:31.887345+00:00,3fb4b1cda3e3,gpt-4o,blog_article,neutral,19.8408,32.7607,67.1176,0,,,
2026-01-21T23:52:18.628303+00:00,2c3bffe5677b,gpt-4o,blog_article,neutral,46.7399,6.611,45.6446,1,56.6289,45.6446,-10.9843
2026-01-21T23:52:43.650057+00:00,b144edf544c2,gpt-4o,blog_article,neutral,25.023,10.7901,74.4345,1,47.6523,74.4345,26.7822
2026-01-21T23:52:58.940905+00:00,5a5c15811dcd,gpt-4o,blog_article,neutral,15.2864,42.3252,61.7176,0,,,
2026-01-21T23:53:23.082593+00:00,53bc73db6a08,gpt-4o,blog_article,neutral,24.1402,10.3976,81.6926,1,53.4756,81.6926,28.217
2026-01-21T23:53:52.327410+00:00,c4ea6e8731e5,gpt-4o,blog_article,neutral,29.2434,9.2329,85.1648,1,59.7793,85.1648,25.3855
2026-01-21T23:54:13.185593+00:00,cf67343d161e,gpt-4o,blog_article,neutral,20.8569,8.7261,68.2774,1,46.6134,68.2774,21.664
2026-01-21T23:54:42.548730+00:00,8496fcf99e43,gpt-4o,blog_article,neutral,29.3621,9.4339,72.8086,1,46.6688,72.8086,26.1399
2026-01-21T23:54:59.897621+00:00,cad3faa17180,gpt-4o,blog_article,neutral,17.3478,36.2005,60.5668,0,,,
2026-01-21T23:55:23.477316+00:00,b5d09c0c86bd,gpt-4o,blog_article,neutral,23.5793,9.1606,84.7213,1,46.659,84.7213,38.0623
2026-01-21T23:55:50.933392+00:00,b992651d909f,gpt-4o,blog_article,neutral,27.4546,9.1788,78.5172,1,49.3,78.5172,29.2172
2026-01-21T23:56:15.078721+00:00,f4c07a98b6be,gpt-4o,blog_article,neutral,24.1448,15.0343,75.7024,1,56.7619,75.7024,18.9405
2026-01-21T23:56:38.931081+00:00,fd1582da372e,gpt-4o,blog_article,neutral,23.8506,11.4882,65.014,1,48.4443,65.014,16.5698
2026-01-21T23:57:01.955910+00:00,b7a5a9aea585,gpt-4o,blog_article,neutral,23.0242,10.4238,67.016,1,44.0225,67.016,22.9935
2026-01-21T23:57:28.052400+00:00,f5365c089eec,gpt-4o,blog_article,neutral,26.0954,12.7225,89.8042,1,59.1827,89.8042,30.6216
2026-01-21T23:57:50.726016+00:00,eeacc64dbb82,gpt-4o,blog_article,neutral,22.6725,12.3939,86.3938,1,55.685,86.3938,30.7088
2026-01-21T23:58:15.124333+00:00,1dd5d59e93fb,gpt-4o,blog_article,neutral,24.3973,11.0668,67.7074,1,41.5035,67.7074,26.2039
2026-01-21T23:58:38.012304+00:00,52b58744f02f,gpt-4o,blog_article,neutral,22.8859,10.6616,87.6699,1,45.6481,87.6699,42.0218
2026-01-23T01:41:53.101688+00:00,6062c5c88b2f,llama-3.3-70b-versatile,blog_article,neutral,4.9733,94.9061,49.9464,0,,,
2026-01-23T01:41:57.359507+00:00,6062c5c88b2f,moonshotai/kimi-k2-instruct,blog_article,neutral,4.2561,161.4153,55.5159,0,,,
2026-01-23T01:42:01.863996+00:00,6062c5c88b2f,qwen/qwen3-32b,blog_article,neutral,4.5044,286.6079,59.6273,0,,,
2026-01-23T01:42:04.268498+00:00,15bb33e1bb04,llama-3.3-70b-versatile,blog_article,neutral,2.4022,209.8114,65.1653,0,,,
2026-01-23T01:42:08.303125+00:00,15bb33e1bb04,moonshotai/kimi-k2-instruct,blog_article,neutral,4.0343,151.4519,62.6965,0,,,
2026-01-23T01:42:15.988172+00:00,15bb33e1bb04,qwen/qwen3-32b,blog_article,neutral,7.6827,156.8463,56.6751,0,,,
2026-01-23T01:42:18.080678+00:00,3fb4b1cda3e3,llama-3.3-70b-versatile,blog_article,neutral,2.0996,222.8976,56.7521,0,,,
2026-01-23T01:42:19.998852+00:00,3fb4b1cda3e3,moonshotai/kimi-k2-instruct,blog_article,neutral,1.9081,158.7967,73.6803,0,,,
2026-01-23T01:42:24.973129+00:00,3fb4b1cda3e3,qwen/qwen3-32b,blog_article,neutral,4.975,195.1771,75.4435,0,,,
2026-01-23T01:42:27.675414+00:00,2c3bffe5677b,llama-3.3-70b-versatile,blog_article,neutral,2.7004,201.4502,59.1176,0,,,
2026-01-23T01:42:38.229964+00:00,b144edf544c2,llama-3.3-70b-versatile,blog_article,neutral,1.7425,259.9724,46.997,0,,,
2026-01-23T01:42:42.569356+00:00,b144edf544c2,moonshotai/kimi-k2-instruct,blog_article,neutral,4.3389,138.513,51.547,0,,,
